Date,new_cases
30-01-2020,0
31-01-2020,0
01-02-2020,0.33333
02-02-2020,0.5
03-02-2020,0.6
04-02-2020,0.5
05-02-2020,0.42857
06-02-2020,0.28571
07-02-2020,0.28571
08-02-2020,0.28571
09-02-2020,0.14286
10-02-2020,0
11-02-2020,0
12-02-2020,0
13-02-2020,0
14-02-2020,0
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,0
22-02-2020,0
23-02-2020,0
24-02-2020,0
25-02-2020,0
26-02-2020,0
27-02-2020,0
28-02-2020,0
29-02-2020,0
01-03-2020,0
02-03-2020,0.28571
03-03-2020,0.28571
04-03-2020,3.57143
05-03-2020,3.85714
06-03-2020,4
07-03-2020,4.42857
08-03-2020,5.14286
09-03-2020,5.42857
10-03-2020,7.28571
11-03-2020,4.85714
12-03-2020,6.14286
13-03-2020,7.28571
14-03-2020,9.71429
15-03-2020,10.57143
16-03-2020,10.85714
17-03-2020,12.28571
18-03-2020,13.42857
19-03-2020,17.28571
20-03-2020,23.14286
21-03-2020,32.57143
22-03-2020,40.42857
23-03-2020,54.28571
24-03-2020,56.28571
25-03-2020,71.57143
26-03-2020,76.14286
27-03-2020,91.85714
28-03-2020,93.85714
29-03-2020,89.71429
30-03-2020,107.42857
31-03-2020,123
01-04-2020,191.57143
02-04-2020,259.42857
03-04-2020,240
04-04-2020,299.28571
05-04-2020,366.28571
06-04-2020,503.85714
07-04-2020,559.14286
08-04-2020,559.71429
09-04-2020,597.42857
10-04-2020,718.71429
11-04-2020,766.28571
12-04-2020,802.42857
13-04-2020,810.71429
14-04-2020,882.28571
15-04-2020,915.14286
16-04-2020,957.85714
17-04-2020,964.85714
18-04-2020,1039.42857
19-04-2020,1201.42857
20-04-2020,1155.14286
21-04-2020,1227.57143
22-04-2020,1292.57143
23-04-2020,1378.14286
24-04-2020,1454
25-04-2020,1508.71429
26-04-2020,1467.85714
27-04-2020,1558.85714
28-04-2020,1606.28571
29-04-2020,1670.28571
30-04-2020,1683.71429
01-05-2020,1818.14286
02-05-2020,1916.57143
03-05-2020,2087.85714
04-05-2020,2426.57143
05-05-2020,2582.28571
06-05-2020,2846.42857
07-05-2020,3069.71429
08-05-2020,3205.42857
09-05-2020,3301.28571
10-05-2020,3522.28571
11-05-2020,3475.85714
12-05-2020,3556
13-05-2020,3581.14286
14-05-2020,3663.71429
15-05-2020,3727
16-05-2020,3977.14286
17-05-2020,4076.71429
18-05-2020,4222.85714
19-05-2020,4597.57143
20-05-2020,4853.28571
21-05-2020,5175.57143
22-05-2020,5572.85714
23-05-2020,5825
24-05-2020,6119.71429
25-05-2020,6374.57143
26-05-2020,6331.14286
27-05-2020,6579.71429
28-05-2020,6737.14286
29-05-2020,6956.71429
30-05-2020,7200.57143
31-05-2020,7439
01-06-2020,7631.42857
02-06-2020,8056.85714
03-06-2020,8391.14286
04-06-2020,8761
05-06-2020,8956.14286
06-06-2020,9256.42857
07-06-2020,9553.85714
08-06-2020,9651.14286
09-06-2020,9850.71429
10-06-2020,9968.71429
11-06-2020,10117.42857
12-06-2020,10401.28571
13-06-2020,10614.28571
14-06-2020,10705.42857
15-06-2020,11023.28571
16-06-2020,11131.28571
17-06-2020,11477.28571
18-06-2020,11856.71429
19-06-2020,12293.57143
20-06-2020,12789.85714
21-06-2020,13265.42857
22-06-2020,13874.85714
23-06-2020,14588.28571
24-06-2020,15165.57143
25-06-2020,15695.57143
26-06-2020,16272.14286
27-06-2020,16915.42857
28-06-2020,17576.57143
29-06-2020,18089.28571
30-06-2020,18471.14286
01-07-2020,18790.85714
02-07-2020,19306.14286
03-07-2020,19908.85714
04-07-2020,20615.14286
05-07-2020,21299.28571
06-07-2020,21832
07-07-2020,22419.42857
08-07-2020,23236.42857
09-07-2020,24036.85714
10-07-2020,24657.28571
11-07-2020,25193.85714
12-07-2020,25834.42857
13-07-2020,26726.85714
14-07-2020,27680.57143
15-07-2020,28794.42857
16-07-2020,30004.28571
17-07-2020,31166.85714
18-07-2020,32608.42857
19-07-2020,34278.85714
20-07-2020,35512.28571
21-07-2020,36699.57143
22-07-2020,38563
23-07-2020,40610.85714
24-07-2020,42562.85714
25-07-2020,43979.14286
26-07-2020,45344.28571
27-07-2020,46390.71429
28-07-2020,48370.14286
29-07-2020,49023.57143
30-07-2020,49519.71429
31-07-2020,51280.57143
01-08-2020,52155.42857
02-08-2020,52582.71429
03-08-2020,53667.42857
04-08-2020,53797.85714
05-08-2020,54653.28571
06-08-2020,56046.85714
07-08-2020,56089
08-08-2020,57469.57143
09-08-2020,58768.42857
10-08-2020,58990
11-08-2020,60197.71429
12-08-2020,61728.71429
13-08-2020,62016.57143
14-08-2020,62473
15-08-2020,62420.28571
16-08-2020,61798.42857
17-08-2020,62000.85714
18-08-2020,62516.42857
19-08-2020,62898.28571
20-08-2020,63519.28571
21-08-2020,64254.14286
22-08-2020,64998.28571
23-08-2020,65526.42857
24-08-2020,66377.42857
25-08-2020,65327.71429
26-08-2020,67615.57143
27-08-2020,68810.71429
28-08-2020,69753
29-08-2020,71113.28571
30-08-2020,73556.71429
31-08-2020,74834.71429
01-09-2020,77853.71429
02-09-2020,77596
03-09-2020,78463.85714
04-09-2020,79886.71429
05-09-2020,81582.57143
06-09-2020,83338.28571
07-09-2020,84179.42857
08-09-2020,85800.71429
09-09-2020,87493.85714
10-09-2020,89381
11-09-2020,90972.14286
12-09-2020,91506.42857
13-09-2020,91687.71429
14-09-2020,92830.57143
15-09-2020,92890.14286
16-09-2020,93198.57143
17-09-2020,93180.42857
18-09-2020,92575.71429
19-09-2020,92323.28571
20-09-2020,91593.28571
21-09-2020,90346.71429
22-09-2020,89378.71429
23-09-2020,87752.14286
24-09-2020,86270.42857
25-09-2020,85131.14286
26-09-2020,84559
27-09-2020,83874.57143
28-09-2020,83232.57143
29-09-2020,82821.85714
30-09-2020,82866.57143
01-10-2020,82214
02-10-2020,81373.14286
03-10-2020,79548.71429
04-10-2020,78444.71429
05-10-2020,77113
06-10-2020,75909.71429
07-10-2020,74724.42857
08-10-2020,73154.71429
09-10-2020,72268.42857
10-10-2020,72061.85714
11-10-2020,70960.42857
12-10-2020,70114
13-10-2020,68894
14-10-2020,67348.85714
15-10-2020,66331
16-10-2020,64751
17-10-2020,62963.57143
18-10-2020,61390.71429
19-10-2020,60169
20-10-2020,58816.85714
21-10-2020,57121.28571
22-10-2020,55834.85714
23-10-2020,54571.71429
24-10-2020,52894.28571
25-10-2020,51383.71429
26-10-2020,49909.42857
27-10-2020,48459.28571
28-10-2020,47608.14286
29-10-2020,46791.28571
30-10-2020,46062.42857
31-10-2020,45610.14286
01-11-2020,45622
02-11-2020,45884.85714
03-11-2020,46222
04-11-2020,46269
05-11-2020,46124.71429
06-11-2020,46423
07-11-2020,46238.85714
08-11-2020,46334.85714
09-11-2020,46301
10-11-2020,46019.28571
11-11-2020,45690
12-11-2020,45295.85714
